"Model","N","Corr","Miss","Outcome_Type","STE_Panel","STE_Bench"
"Weighted_MMSE",260,"Strong","MCAR","MMSE",NA,NA
"Weighted_MMSE",260,"Strong","MAR","MMSE",NA,NA
"Weighted_MMSE",260,"Strong","MNAR","MMSE",NA,NA
"Weighted_MMSE",530,"Real","MCAR","MMSE",NA,NA
"Weighted_MMSE",530,"Real","MAR","MMSE",NA,NA
"Weighted_MMSE",530,"Real","MNAR","MMSE",NA,NA
"Weighted_MMSE",530,"Moderate","MCAR","MMSE",NA,NA
"Weighted_MMSE",530,"Moderate","MAR","MMSE",NA,NA
"Weighted_MMSE",530,"Moderate","MNAR","MMSE",NA,NA
"Weighted_MMSE",530,"Strong","MCAR","MMSE",NA,NA
"Weighted_MMSE",530,"Strong","MAR","MMSE",NA,NA
"Weighted_MMSE",530,"Strong","MNAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Real","MCAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Real","MAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Real","MNAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Moderate","MCAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Moderate","MAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Moderate","MNAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Strong","MCAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Strong","MAR","MMSE",NA,NA
"Weighted_MMSE",1072,"Strong","MNAR","MMSE",NA,NA
